,Imóvel,Preço (R$),Aluguel (R$),Bairro,Área (m²),Quartos,Banheiros,Vagas
476,Apartamento,0,1350,Vila Madalena,24,1,1,0
477,Apartamento,536,2800,Brooklin,47,1,1,1
478,Sala/Conjunto,0,1700,Santana,60,0,1,0
479,Apartamento,480,1500,Brás,49,2,1,1
480,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
481,Apartamento,550,2000,Moema,54,1,1,1
482,Apartamento,410,1800,Vila Mariana,44,1,1,0
483,Apartamento,506,2100,Barra Funda,60,2,2,1
484,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
485,Sala/Conjunto,0,600,República,20,0,1,0
486,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
487,Apartamento,700,2300,Jaguaré,70,3,2,2
488,Apartamento,724,1800,Vila Paulista,76,3,2,1
489,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
490,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
491,Apartamento,781,1800,Sumaré,50,1,1,1
492,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
493,Apartamento,0,2600,Bela Vista,48,1,1,0
494,Apartamento,0,4500,Perdizes,140,3,3,2
495,Sala/Conjunto,0,1950,República,65,0,2,0
496,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
497,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
498,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
499,Apartamento,250,1051,Liberdade,30,1,1,0
500,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
501,Apartamento,650,1700,Consolação,50,2,1,1
502,Apartamento,925,3999,Itaim Bibi,95,2,1,0
503,Casa,2350,950,Jardim Japão,40,1,1,0
504,Apartamento,590,1100,Vila Andrade,35,1,1,1
505,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
506,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
507,Apartamento,651,1500,Vila Água Funda,75,2,2,1
508,Apartamento,1150,3200,Vila Mariana,110,3,2,1
509,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
510,Apartamento,850,5900,Sumaré,74,2,3,2
511,Apartamento,450,3200,Indianópolis,36,1,1,0
512,Apartamento,0,1350,Vila Madalena,24,1,1,0
513,Apartamento,536,2800,Brooklin,47,1,1,1
514,Sala/Conjunto,0,1700,Santana,60,0,1,0
515,Apartamento,480,1500,Brás,49,2,1,1
516,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
517,Apartamento,550,2000,Moema,54,1,1,1
518,Apartamento,410,1800,Vila Mariana,44,1,1,0
519,Apartamento,506,2100,Barra Funda,60,2,2,1
520,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
521,Sala/Conjunto,0,600,República,20,0,1,0
522,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
523,Apartamento,700,2300,Jaguaré,70,3,2,2
524,Apartamento,724,1800,Vila Paulista,76,3,2,1
525,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
526,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
527,Apartamento,781,1800,Sumaré,50,1,1,1
528,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
529,Apartamento,0,2600,Bela Vista,48,1,1,0
530,Apartamento,0,4500,Perdizes,140,3,3,2
531,Sala/Conjunto,0,1950,República,65,0,2,0
532,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
533,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
534,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
535,Apartamento,250,1051,Liberdade,30,1,1,0
536,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
537,Apartamento,650,1700,Consolação,50,2,1,1
538,Apartamento,925,3999,Itaim Bibi,95,2,1,0
539,Casa,2350,950,Jardim Japão,40,1,1,0
540,Apartamento,590,1100,Vila Andrade,35,1,1,1
541,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
542,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
543,Apartamento,651,1500,Vila Água Funda,75,2,2,1
544,Apartamento,1150,3200,Vila Mariana,110,3,2,1
545,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
546,Apartamento,850,5900,Sumaré,74,2,3,2
547,Apartamento,450,3200,Indianópolis,36,1,1,0
548,Apartamento,0,1350,Vila Madalena,24,1,1,0
549,Apartamento,536,2800,Brooklin,47,1,1,1
550,Sala/Conjunto,0,1700,Santana,60,0,1,0
551,Apartamento,480,1500,Brás,49,2,1,1
552,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
553,Apartamento,550,2000,Moema,54,1,1,1
554,Apartamento,410,1800,Vila Mariana,44,1,1,0
555,Apartamento,506,2100,Barra Funda,60,2,2,1
556,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
557,Sala/Conjunto,0,600,República,20,0,1,0
558,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
559,Apartamento,700,2300,Jaguaré,70,3,2,2
560,Apartamento,724,1800,Vila Paulista,76,3,2,1
561,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
562,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
563,Apartamento,781,1800,Sumaré,50,1,1,1
564,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
565,Apartamento,0,2600,Bela Vista,48,1,1,0
566,Apartamento,0,4500,Perdizes,140,3,3,2
567,Sala/Conjunto,0,1950,República,65,0,2,0
568,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
569,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
570,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
571,Apartamento,250,1051,Liberdade,30,1,1,0
572,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
573,Apartamento,650,1700,Consolação,50,2,1,1
574,Apartamento,925,3999,Itaim Bibi,95,2,1,0
575,Casa,2350,950,Jardim Japão,40,1,1,0
576,Apartamento,590,1100,Vila Andrade,35,1,1,1
577,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
578,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
579,Apartamento,651,1500,Vila Água Funda,75,2,2,1
580,Apartamento,1150,3200,Vila Mariana,110,3,2,1
581,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
582,Apartamento,850,5900,Sumaré,74,2,3,2
583,Apartamento,450,3200,Indianópolis,36,1,1,0
584,Apartamento,0,1350,Vila Madalena,24,1,1,0
585,Apartamento,536,2800,Brooklin,47,1,1,1
586,Sala/Conjunto,0,1700,Santana,60,0,1,0
587,Apartamento,480,1500,Brás,49,2,1,1
588,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
589,Apartamento,550,2000,Moema,54,1,1,1
590,Apartamento,410,1800,Vila Mariana,44,1,1,0
591,Apartamento,506,2100,Barra Funda,60,2,2,1
592,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
593,Sala/Conjunto,0,600,República,20,0,1,0
594,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
595,Apartamento,700,2300,Jaguaré,70,3,2,2
596,Apartamento,724,1800,Vila Paulista,76,3,2,1
597,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
598,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
599,Apartamento,781,1800,Sumaré,50,1,1,1
600,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
601,Apartamento,0,2600,Bela Vista,48,1,1,0
602,Apartamento,0,4500,Perdizes,140,3,3,2
603,Sala/Conjunto,0,1950,República,65,0,2,0
604,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
605,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
606,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
607,Apartamento,250,1051,Liberdade,30,1,1,0
608,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
609,Apartamento,650,1700,Consolação,50,2,1,1
610,Apartamento,925,3999,Itaim Bibi,95,2,1,0
611,Casa,2350,950,Jardim Japão,40,1,1,0
612,Apartamento,590,1100,Vila Andrade,35,1,1,1
613,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
614,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
615,Apartamento,651,1500,Vila Água Funda,75,2,2,1
616,Apartamento,1150,3200,Vila Mariana,110,3,2,1
617,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
618,Apartamento,850,5900,Sumaré,74,2,3,2
619,Apartamento,450,3200,Indianópolis,36,1,1,0
620,Apartamento,0,1350,Vila Madalena,24,1,1,0
621,Apartamento,536,2800,Brooklin,47,1,1,1
622,Sala/Conjunto,0,1700,Santana,60,0,1,0
623,Apartamento,480,1500,Brás,49,2,1,1
624,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
625,Apartamento,550,2000,Moema,54,1,1,1
626,Apartamento,410,1800,Vila Mariana,44,1,1,0
627,Apartamento,506,2100,Barra Funda,60,2,2,1
628,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
629,Sala/Conjunto,0,600,República,20,0,1,0
630,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
631,Apartamento,700,2300,Jaguaré,70,3,2,2
632,Apartamento,724,1800,Vila Paulista,76,3,2,1
633,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
634,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
635,Apartamento,781,1800,Sumaré,50,1,1,1
636,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
637,Apartamento,0,2600,Bela Vista,48,1,1,0
638,Apartamento,0,4500,Perdizes,140,3,3,2
639,Sala/Conjunto,0,1950,República,65,0,2,0
640,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
641,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
642,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
643,Apartamento,250,1051,Liberdade,30,1,1,0
644,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
645,Apartamento,650,1700,Consolação,50,2,1,1
646,Apartamento,925,3999,Itaim Bibi,95,2,1,0
647,Casa,2350,950,Jardim Japão,40,1,1,0
648,Apartamento,590,1100,Vila Andrade,35,1,1,1
649,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
650,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
651,Apartamento,651,1500,Vila Água Funda,75,2,2,1
652,Apartamento,1150,3200,Vila Mariana,110,3,2,1
653,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
654,Apartamento,850,5900,Sumaré,74,2,3,2
655,Apartamento,450,3200,Indianópolis,36,1,1,0
656,Apartamento,0,1350,Vila Madalena,24,1,1,0
657,Apartamento,536,2800,Brooklin,47,1,1,1
658,Sala/Conjunto,0,1700,Santana,60,0,1,0
659,Apartamento,480,1500,Brás,49,2,1,1
660,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
661,Apartamento,550,2000,Moema,54,1,1,1
662,Apartamento,410,1800,Vila Mariana,44,1,1,0
663,Apartamento,506,2100,Barra Funda,60,2,2,1
664,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
665,Sala/Conjunto,0,600,República,20,0,1,0
666,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
667,Apartamento,700,2300,Jaguaré,70,3,2,2
668,Apartamento,724,1800,Vila Paulista,76,3,2,1
669,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
670,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
671,Apartamento,781,1800,Sumaré,50,1,1,1
672,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
673,Apartamento,0,2600,Bela Vista,48,1,1,0
674,Apartamento,0,4500,Perdizes,140,3,3,2
675,Sala/Conjunto,0,1950,República,65,0,2,0
676,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
677,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
678,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
679,Apartamento,250,1051,Liberdade,30,1,1,0
680,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
681,Apartamento,650,1700,Consolação,50,2,1,1
682,Apartamento,925,3999,Itaim Bibi,95,2,1,0
683,Casa,2350,950,Jardim Japão,40,1,1,0
684,Apartamento,590,1100,Vila Andrade,35,1,1,1
685,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
686,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
687,Apartamento,651,1500,Vila Água Funda,75,2,2,1
688,Apartamento,1150,3200,Vila Mariana,110,3,2,1
689,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
690,Apartamento,850,5900,Sumaré,74,2,3,2
691,Apartamento,450,3200,Indianópolis,36,1,1,0
692,Apartamento,0,1350,Vila Madalena,24,1,1,0
693,Apartamento,536,2800,Brooklin,47,1,1,1
694,Sala/Conjunto,0,1700,Santana,60,0,1,0
695,Apartamento,480,1500,Brás,49,2,1,1
696,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
697,Apartamento,550,2000,Moema,54,1,1,1
698,Apartamento,410,1800,Vila Mariana,44,1,1,0
699,Apartamento,506,2100,Barra Funda,60,2,2,1
700,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
701,Sala/Conjunto,0,600,República,20,0,1,0
702,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
703,Apartamento,700,2300,Jaguaré,70,3,2,2
704,Apartamento,724,1800,Vila Paulista,76,3,2,1
705,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
706,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
707,Apartamento,781,1800,Sumaré,50,1,1,1
708,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
709,Apartamento,0,2600,Bela Vista,48,1,1,0
710,Apartamento,0,4500,Perdizes,140,3,3,2
711,Sala/Conjunto,0,1950,República,65,0,2,0
712,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
713,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
714,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
715,Apartamento,250,1051,Liberdade,30,1,1,0
716,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
717,Apartamento,650,1700,Consolação,50,2,1,1
718,Apartamento,925,3999,Itaim Bibi,95,2,1,0
719,Casa,2350,950,Jardim Japão,40,1,1,0
720,Apartamento,590,1100,Vila Andrade,35,1,1,1
721,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
722,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
723,Apartamento,651,1500,Vila Água Funda,75,2,2,1
724,Apartamento,1150,3200,Vila Mariana,110,3,2,1
725,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
726,Apartamento,850,5900,Sumaré,74,2,3,2
727,Apartamento,450,3200,Indianópolis,36,1,1,0
728,Apartamento,0,1350,Vila Madalena,24,1,1,0
729,Apartamento,536,2800,Brooklin,47,1,1,1
730,Sala/Conjunto,0,1700,Santana,60,0,1,0
731,Apartamento,480,1500,Brás,49,2,1,1
732,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
733,Apartamento,550,2000,Moema,54,1,1,1
734,Apartamento,410,1800,Vila Mariana,44,1,1,0
735,Apartamento,506,2100,Barra Funda,60,2,2,1
736,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
737,Sala/Conjunto,0,600,República,20,0,1,0
738,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
739,Apartamento,700,2300,Jaguaré,70,3,2,2
740,Apartamento,724,1800,Vila Paulista,76,3,2,1
741,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
742,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
743,Apartamento,781,1800,Sumaré,50,1,1,1
744,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
745,Apartamento,0,2600,Bela Vista,48,1,1,0
746,Apartamento,0,4500,Perdizes,140,3,3,2
747,Sala/Conjunto,0,1950,República,65,0,2,0
748,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
749,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
750,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
751,Apartamento,250,1051,Liberdade,30,1,1,0
752,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
753,Apartamento,650,1700,Consolação,50,2,1,1
754,Apartamento,925,3999,Itaim Bibi,95,2,1,0
755,Casa,2350,950,Jardim Japão,40,1,1,0
756,Apartamento,590,1100,Vila Andrade,35,1,1,1
757,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
758,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
759,Apartamento,651,1500,Vila Água Funda,75,2,2,1
760,Apartamento,1150,3200,Vila Mariana,110,3,2,1
761,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
762,Apartamento,850,5900,Sumaré,74,2,3,2
763,Apartamento,450,3200,Indianópolis,36,1,1,0
764,Apartamento,0,1350,Vila Madalena,24,1,1,0
765,Apartamento,536,2800,Brooklin,47,1,1,1
766,Sala/Conjunto,0,1700,Santana,60,0,1,0
767,Apartamento,480,1500,Brás,49,2,1,1
768,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
769,Apartamento,550,2000,Moema,54,1,1,1
770,Apartamento,410,1800,Vila Mariana,44,1,1,0
771,Apartamento,506,2100,Barra Funda,60,2,2,1
772,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
773,Sala/Conjunto,0,600,República,20,0,1,0
774,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
775,Apartamento,700,2300,Jaguaré,70,3,2,2
776,Apartamento,724,1800,Vila Paulista,76,3,2,1
777,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
778,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
779,Apartamento,781,1800,Sumaré,50,1,1,1
780,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
781,Apartamento,0,2600,Bela Vista,48,1,1,0
782,Apartamento,0,4500,Perdizes,140,3,3,2
783,Sala/Conjunto,0,1950,República,65,0,2,0
784,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
785,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
786,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
787,Apartamento,250,1051,Liberdade,30,1,1,0
788,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
789,Apartamento,650,1700,Consolação,50,2,1,1
790,Apartamento,925,3999,Itaim Bibi,95,2,1,0
791,Casa,2350,950,Jardim Japão,40,1,1,0
792,Apartamento,590,1100,Vila Andrade,35,1,1,1
793,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
794,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
795,Apartamento,651,1500,Vila Água Funda,75,2,2,1
796,Apartamento,1150,3200,Vila Mariana,110,3,2,1
797,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
798,Apartamento,850,5900,Sumaré,74,2,3,2
799,Apartamento,450,3200,Indianópolis,36,1,1,0
800,Apartamento,0,1350,Vila Madalena,24,1,1,0
801,Apartamento,536,2800,Brooklin,47,1,1,1
802,Sala/Conjunto,0,1700,Santana,60,0,1,0
803,Apartamento,480,1500,Brás,49,2,1,1
804,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
805,Apartamento,550,2000,Moema,54,1,1,1
806,Apartamento,410,1800,Vila Mariana,44,1,1,0
807,Apartamento,506,2100,Barra Funda,60,2,2,1
808,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
809,Sala/Conjunto,0,600,República,20,0,1,0
810,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
811,Apartamento,700,2300,Jaguaré,70,3,2,2
812,Apartamento,724,1800,Vila Paulista,76,3,2,1
813,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
814,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
815,Apartamento,781,1800,Sumaré,50,1,1,1
816,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
817,Apartamento,0,2600,Bela Vista,48,1,1,0
818,Apartamento,0,4500,Perdizes,140,3,3,2
819,Sala/Conjunto,0,1950,República,65,0,2,0
820,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
821,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
822,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
823,Apartamento,250,1051,Liberdade,30,1,1,0
824,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
825,Apartamento,650,1700,Consolação,50,2,1,1
826,Apartamento,925,3999,Itaim Bibi,95,2,1,0
827,Casa,2350,950,Jardim Japão,40,1,1,0
828,Apartamento,590,1100,Vila Andrade,35,1,1,1
829,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
830,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
831,Apartamento,651,1500,Vila Água Funda,75,2,2,1
832,Apartamento,1150,3200,Vila Mariana,110,3,2,1
833,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
834,Apartamento,850,5900,Sumaré,74,2,3,2
835,Apartamento,450,3200,Indianópolis,36,1,1,0
836,Apartamento,0,1350,Vila Madalena,24,1,1,0
837,Apartamento,536,2800,Brooklin,47,1,1,1
838,Sala/Conjunto,0,1700,Santana,60,0,1,0
839,Apartamento,480,1500,Brás,49,2,1,1
840,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
841,Apartamento,550,2000,Moema,54,1,1,1
842,Apartamento,410,1800,Vila Mariana,44,1,1,0
843,Apartamento,506,2100,Barra Funda,60,2,2,1
844,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
845,Sala/Conjunto,0,600,República,20,0,1,0
846,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
847,Apartamento,700,2300,Jaguaré,70,3,2,2
848,Apartamento,724,1800,Vila Paulista,76,3,2,1
849,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
850,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
851,Apartamento,781,1800,Sumaré,50,1,1,1
852,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
853,Apartamento,0,2600,Bela Vista,48,1,1,0
854,Apartamento,0,4500,Perdizes,140,3,3,2
855,Sala/Conjunto,0,1950,República,65,0,2,0
856,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
857,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
858,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
859,Apartamento,250,1051,Liberdade,30,1,1,0
860,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
861,Apartamento,650,1700,Consolação,50,2,1,1
862,Apartamento,925,3999,Itaim Bibi,95,2,1,0
863,Casa,2350,950,Jardim Japão,40,1,1,0
864,Apartamento,590,1100,Vila Andrade,35,1,1,1
865,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
866,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
867,Apartamento,651,1500,Vila Água Funda,75,2,2,1
868,Apartamento,1150,3200,Vila Mariana,110,3,2,1
869,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
870,Apartamento,850,5900,Sumaré,74,2,3,2
871,Apartamento,450,3200,Indianópolis,36,1,1,0
872,Apartamento,0,1350,Vila Madalena,24,1,1,0
873,Apartamento,536,2800,Brooklin,47,1,1,1
874,Sala/Conjunto,0,1700,Santana,60,0,1,0
875,Apartamento,480,1500,Brás,49,2,1,1
876,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
877,Apartamento,550,2000,Moema,54,1,1,1
878,Apartamento,410,1800,Vila Mariana,44,1,1,0
879,Apartamento,506,2100,Barra Funda,60,2,2,1
880,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
881,Sala/Conjunto,0,600,República,20,0,1,0
882,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
883,Apartamento,700,2300,Jaguaré,70,3,2,2
884,Apartamento,724,1800,Vila Paulista,76,3,2,1
885,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
886,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
887,Apartamento,781,1800,Sumaré,50,1,1,1
888,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
889,Apartamento,0,2600,Bela Vista,48,1,1,0
890,Apartamento,0,4500,Perdizes,140,3,3,2
891,Sala/Conjunto,0,1950,República,65,0,2,0
892,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
893,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
894,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
895,Apartamento,250,1051,Liberdade,30,1,1,0
896,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
897,Apartamento,650,1700,Consolação,50,2,1,1
898,Apartamento,925,3999,Itaim Bibi,95,2,1,0
899,Casa,2350,950,Jardim Japão,40,1,1,0
900,Apartamento,590,1100,Vila Andrade,35,1,1,1
901,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
902,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
903,Apartamento,651,1500,Vila Água Funda,75,2,2,1
904,Apartamento,1150,3200,Vila Mariana,110,3,2,1
905,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
906,Apartamento,850,5900,Sumaré,74,2,3,2
907,Apartamento,450,3200,Indianópolis,36,1,1,0
908,Apartamento,0,1350,Vila Madalena,24,1,1,0
909,Apartamento,536,2800,Brooklin,47,1,1,1
910,Sala/Conjunto,0,1700,Santana,60,0,1,0
911,Apartamento,480,1500,Brás,49,2,1,1
912,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
913,Apartamento,550,2000,Moema,54,1,1,1
914,Apartamento,410,1800,Vila Mariana,44,1,1,0
915,Apartamento,506,2100,Barra Funda,60,2,2,1
916,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
917,Sala/Conjunto,0,600,República,20,0,1,0
918,Apartamento,2766,22000,Jardim Paulista,168,3,3,2
919,Apartamento,700,2300,Jaguaré,70,3,2,2
920,Apartamento,724,1800,Vila Paulista,76,3,2,1
921,Sala/Conjunto,0,950,Vila Romana,25,0,1,0
922,Apartamento,1600,3380,Jardim Paulista,57,1,1,1
923,Apartamento,781,1800,Sumaré,50,1,1,1
924,Sala/Conjunto,0,1000,Barra Funda,34,0,2,1
925,Apartamento,0,2600,Bela Vista,48,1,1,0
926,Apartamento,0,4500,Perdizes,140,3,3,2
927,Sala/Conjunto,0,1950,República,65,0,2,0
928,Apartamento,605,2100,Jardim Ampliação,73,3,2,2
929,Apartamento,1850,9500,Itaim Bibi,125,3,4,2
930,Apartamento,1100,6900,Vila Olímpia,52,1,2,1
931,Apartamento,250,1051,Liberdade,30,1,1,0
932,Sala/Conjunto,0,2800,Santa Cecília,88,0,2,0
933,Apartamento,650,1700,Consolação,50,2,1,1
934,Apartamento,925,3999,Itaim Bibi,95,2,1,0
935,Casa,2350,950,Jardim Japão,40,1,1,0
936,Apartamento,590,1100,Vila Andrade,35,1,1,1
937,Apartamento,1190,7750,Itaim Bibi,117,2,2,1
938,Sala/Conjunto,0,2500,Brooklin,70,0,2,3
939,Apartamento,651,1500,Vila Água Funda,75,2,2,1
940,Apartamento,1150,3200,Vila Mariana,110,3,2,1
941,Apartamento,600,8500,Vila Nova Conceição,100,3,3,1
942,Apartamento,850,5900,Sumaré,74,2,3,2
943,Apartamento,450,3200,Indianópolis,36,1,1,0
944,Apartamento,0,1350,Vila Madalena,24,1,1,0
945,Apartamento,536,2800,Brooklin,47,1,1,1
946,Sala/Conjunto,0,1700,Santana,60,0,1,0
947,Apartamento,480,1500,Brás,49,2,1,1
948,Apartamento,4800,23000,Jardim Paulista,200,3,4,4
949,Apartamento,550,2000,Moema,54,1,1,1
950,Apartamento,410,1800,Vila Mariana,44,1,1,0
951,Apartamento,506,2100,Barra Funda,60,2,2,1
952,Sala/Conjunto,0,1900,Vila Leopoldina,40,0,1,1
953,Sala/Conjunto,0,600,República,20,0,1,0
